NET_ODA,POP,GNP_PCAP,INF_MORT,RIGHTS_REV,RIGHTS_INV,country,year
-0.4474552250568093,-2.335193728515148,-1.7945212125443069,0.33705667199220923,-1.7438835211820263,-0.6314798156055518,Benin,1984
-0.34687130038888697,-2.3232250881805876,-1.8650740136113333,0.35342760315549415,-1.7586986069671668,-0.6392256889586022,Benin,1985
-0.11949194798027606,-2.3114049310739317,-1.8467026768099988,0.3700890859167442,-1.7774296436732302,-0.6599717204419118,Benin,1986
-0.15377112154294595,-2.300367424420606,-1.7725686691808848,0.38599489658698016,-1.7876861438404192,-0.6864120215475712,Benin,1987
-0.0277915205912314,-2.289626857678875,-1.6721661974881015,0.40087889709285324,-1.791759469228055,-0.6832355236988231,Benin,1988
0.3193357564668204,-2.2788018751829617,-1.5444210368267524,0.41427850020825996,-1.7958162699236693,-0.7062510111007199,Benin,1989
-0.7679786165543445,-3.468104000975132,-2.814352623359302,0.47943261527493414,-0.13444560874792594,-0.2950075789843387,Bhutan,1984
-0.577243996798276,-3.4686754530237938,-2.676004229827662,0.486432763067773,-0.14926069453306645,-0.3027534523373892,Bhutan,1985
-0.20130596568919468,-3.4679651444082817,-2.539849857369944,0.4935059392913838,-0.16799173123912972,-0.32349948382069876,Bhutan,1986
-0.1773232018422263,-3.466399410995162,-2.46571584974083,0.4995978007528186,-0.17824823140631876,-0.34993978492635813,Bhutan,1987
-0.22613456408123686,-3.465308082716946,-2.2839677385940944,0.5044336596481126,-0.1823215567939546,-0.34676328707761,Bhutan,1988
-0.315252521823888,-3.4647224794062943,-2.1530108293586347,0.5137213238948629,-0.4095219088037787,-0.4650889542838317,Bhutan,1989
-0.10350013270531959,-1.8754597659068684,-1.2902745598763585,0.36183085397778886,0.5587015718120194,0.39813960157560657,Bolivia,1984
-0.047249947063940374,-1.8684556357048705,-1.3214585670223518,0.3618098819082987,0.5438864860268788,0.39039372822255614,Bolivia,1985
0.2776737916029823,-1.8612728102699865,-1.3320382767368424,0.36157839624883564,0.5251554493208156,0.3696476967392466,Bolivia,1986
0.23553793598950173,-1.8548787843300814,-1.3072054194916514,0.36006431666597777,0.5148989491536266,0.34320739563358715,Bolivia,1987
0.41966025567977555,-1.8483240598843322,-1.1958267497932802,0.3569736892886994,0.5108256237659907,0.3463838934823353,Bolivia,1988
0.4414041696114604,-1.8418330367114688,-1.0634483762104427,0.35943971117052714,0.5067688230703762,0.32336840608043854,Bolivia,1989
1.164126069099212,-3.665607631240582,-0.563060824752807,-0.5522193229311466,0.5587015718120194,0.39813960157560657,Botswana,1984
0.9929283416632275,-3.6525534303654066,-0.4974717855035952,-0.5632840927324548,0.5438864860268788,0.39039372822255614,Botswana,1985
0.9063520857016562,-3.639529836628798,-0.5147426666534377,-0.5752203398464465,0.5251554493208156,0.3696476967392466,Botswana,1986
1.2961127198523692,-3.627648943723589,-0.5145286435846732,-0.5891621914722796,0.5148989491536266,0.34320739563358715,Botswana,1987
1.22905689433764,-3.6167917710252064,-0.45639881666932863,-0.6054737831851013,0.5108256237659907,0.3463838934823353,Botswana,1988
1.2256883464094936,-3.606946466521228,-0.3522826901478192,-0.616817060166309,0.6890903798643309,0.8341940298464292,Botswana,1989
-3.2353900807050175,1.1903400702638394,0.06331248326774773,-0.19574785849255663,0.45334105615419307,0.2158180447816519,Brazil,1984
-3.6042317316944286,1.1924428068968305,0.02367772160403146,-0.195721269041211,0.5438864860268788,0.39039372822255614,Brazil,1985
-3.3633409593475916,1.186973945428264,0.03099922221878096,-0.1959029191579544,0.6204656291251404,0.5927912480534563,Brazil,1986
-2.90242010485023,1.187454561841906,0.09064976402931516,-0.19736472209277892,0.6102091289579514,0.5663509469477969,Brazil,1987
-3.2454142728582425,1.1875070900732205,0.18254154605418974,-0.20040044785374006,0.5108256237659907,0.3463838934823353,Brazil,1988
-3.414204746536594,1.187097306252118,0.24733843240130277,-0.2016666463236809,0.6020790028747012,0.5465119573946483,Brazil,1989
-0.22435897407607575,-1.6603483862899229,-2.0552474750075596,0.549440200192432,-0.6452712325139165,-0.4773291357782934,Burkina Faso,1984
-0.280836787936593,-1.6548694615388873,-2.1404859934713,0.5575359094281087,-1.0655514264072217,-0.5651177168048803,Burkina Faso,1985
-0.0602666988663754,-1.648909627183831,-2.16036023566504,0.5657394966507553,-1.0842824631132848,-0.5858637482881899,Burkina Faso,1986
-0.09943248704767461,-1.643605074739336,-2.072673261631223,0.5729983091345499,-1.0945389632804738,-0.6123040493938493,Burkina Faso,1987
-0.07025892241977529,-1.6376623045773109,-1.921062244904726,0.5790394607249129,-1.0986122886681098,-0.6091275515451011,Burkina Faso,1988
-0.18856565962922334,-1.631314557553689,-1.73857705126771,0.589707230872785,-0.4095219088037787,-0.4650889542838317,Burkina Faso,1989
0.004553449048245247,-2.182247934095718,-2.0135747786069915,0.15907351679685283,-1.0507363406220809,-0.5573718434518298,Burundi,1984
-0.09464522625532854,-2.173500996313426,-1.9622377620649811,0.1245860307266466,-1.0655514264072217,-0.5651177168048803,Burundi,1985
0.03694309853126872,-2.1639850458880945,-1.9061260972807996,0.08747887556292362,-1.0842824631132848,-0.5858637482881899,Burundi,1986
0.0815468097153444,-2.154671343434896,-1.8697324176345327,0.04576132880876926,-1.0945389632804738,-0.6123040493938493,Burundi,1987
-0.023319620636835257,-2.1452531300357065,-1.8578833432831943,-0.002012207020138437,-1.0986122886681098,-0.6091275515451011,Burundi,1988
-0.04477026763359012,-2.135817157015993,-1.8721084438922324,-0.028760088464328124,-1.102669089363724,-0.6321430389469977,Burundi,1989
-0.48867758435920894,-1.4120301173532308,-0.7292453441437888,0.17885655564629774,-1.0507363406220809,-0.5573718434518298,Cameroon,1984
-0.7539058181352731,-1.4011632598145107,-0.7241593452525342,0.18415189119483952,-1.0655514264072217,-0.5651177168048803,Cameroon,1985
-0.5567425193767805,-1.3897619929795924,-0.7041961945846638,0.18946100962912263,-0.6788173550051204,-0.5058210406146535,Cameroon,1986
-0.6411147978879682,-1.3789852675233631,-0.6257542786948974,0.1937264219033165,-0.6890738551723095,-0.5322613417203128,Cameroon,1987
-0.38848665570329816,-1.3675538196379864,-0.5512066101279953,0.196670067411398,-0.6931471805599453,-0.5290848438715648,Cameroon,1988
0.04018182252753003,-1.3563035831675445,-0.5169046698423729,0.20138591537909953,-0.6972039812555597,-0.5521003312734615,Cameroon,1989
0.362739226409773,-2.752995153440919,-1.7782606916725263,0.2802916491880185,-1.0507363406220809,-0.5573718434518298,Central African Republic,1984
0.16758063211781477,-2.7471630131464577,-1.8287063694404584,0.2855163975392837,-1.0655514264072217,-0.5651177168048803,Central African Republic,1985
0.31707477820400926,-2.74075140928473,-1.7906132101589551,0.2907523436802232,-1.0842824631132848,-0.5858637482881899,Central African Republic,1986
0.5239971378994726,-2.7349053739820772,-1.73620102501001,0.2949418539059742,-0.6890738551723095,-0.5322613417203128,Central African Republic,1987
0.6014426182315789,-2.7283426725035524,-1.6388297772205098,0.29780671195303904,-0.6931471805599453,-0.5290848438715648,Central African Republic,1988
0.49408374428133967,-2.721191184565816,-1.5298222374055996,0.3028742093544163,-0.6972039812555597,-0.5521003312734615,Central African Republic,1989
-0.2709524550318871,-2.1105697920305038,-2.5380992467311443,0.5080264146416749,-1.7438835211820263,-0.6314798156055518,Chad,1984
0.0872140378017709,-2.107180630894991,-2.5582211941712787,0.5154834624898655,-1.7586986069671668,-0.6392256889586022,Chad,1985
-0.14897843004896488,-2.103226660261867,-2.465741885216222,0.5230283785577055,-1.7774296436732302,-0.6599717204419118,Chad,1986
0.006719187608788831,-2.09984438803501,-2.360355334083004,0.5296075546208104,-1.0945389632804738,-0.6123040493938493,Chad,1987
0.26721208455079254,-2.0962776949069672,-2.382407811407347,0.5349470871965816,-1.0986122886681098,-0.6091275515451011,Chad,1988
0.09949153927318001,-2.091882442685788,-2.2981928392031326,0.5419903892852229,-1.102669089363724,-0.6321430389469977,Chad,1989
-3.6845591891375564,3.240213411161724,-1.746511993357946,-0.8016462733377218,-0.6452712325139165,-0.4773291357782934,China,1984
-3.609653490465656,3.23156008555969,-1.6951749768159359,-0.8158022527265687,-0.6600863182990571,-0.4850750091313439,China,1985
-3.548499952613019,3.223855872689304,-1.623559125495789,-0.8310628420675503,-0.6788173550051204,-0.5058210406146535,China,1986
-3.310740004905469,3.216908414094436,-1.6026696323854874,-0.848589596266461,-0.6890738551723095,-0.5322613417203128,China,1987
-3.0194176525616263,3.209790217913108,-1.6225692563487295,-0.8687785603012765,-0.6931471805599453,-0.5290848438715648,China,1988
-2.964709121511986,3.204265333425235,-1.6050456586431872,-0.8812515926812757,-1.7958162699236693,-0.7062510111007199,China,1989
-2.326047344504895,-0.3230702164425396,-0.2813775705302795,-0.735966106475566,0.5587015718120194,0.39813960157560657,Colombia,1984
-2.7737827087881377,-0.32305618633678623,-0.23728696250903636,-0.7177857113245011,0.5438864860268788,0.39039372822255614,Colombia,1985
-2.891839636770151,-0.3231762010497288,-0.21821656940520395,-0.699293564436427,0.5251554493208156,0.3696476967392466,Colombia,1986
-2.7002642999655646,-0.32441910446559996,-0.24009179788291285,-0.6815355116032948,0.5148989491536266,0.34320739563358715,Colombia,1987
-2.952111595649939,-0.32576873280746,-0.2690647180518298,-0.6647773038919607,0.5108256237659907,0.3463838934823353,Colombia,1988
-3.014535024670965,-0.3271850456280622,-0.30009693697724893,-0.6527342335876409,0.2836252717561666,-0.013103830540774518,Colombia,1989
-1.067459442110547,-0.3159917455056119,-1.3002248907295266,0.29347865346997226,-1.0507363406220809,-0.5573718434518298,"Congo, Dem. Rep.",1984
-1.134312835775326,-0.30583526206495204,-1.4720314255017262,0.30778903314840694,-1.7586986069671668,-0.6392256889586022,"Congo, Dem. Rep.",1985
-0.9581642592993631,-0.2951930724970644,-1.687072531218115,0.32235768309555435,-1.7774296436732302,-0.6599717204419118,"Congo, Dem. Rep.",1986
-0.6552596701309881,-0.2851860203568477,-1.8297270830208334,0.3361376103442415,-1.0945389632804738,-0.6123040493938493,"Congo, Dem. Rep.",1987
-0.7741382607373014,-0.27476879206929816,-1.87850263048593,0.3488618827533232,-1.0986122886681098,-0.6091275515451011,"Congo, Dem. Rep.",1988
-0.7480262691280447,-0.2640585306439105,-1.851905736574713,0.3676551841239183,-1.102669089363724,-0.6321430389469977,"Congo, Dem. Rep.",1989
0.5309807377408937,-3.072467634495963,-0.36021763223805553,0.36914498654370975,-1.0507363406220809,-0.5573718434518298,"Congo, Rep.",1984
0.09726216224194706,-3.058555565370647,-0.37759450824409707,0.3840972262117313,-1.0655514264072217,-0.5651177168048803,"Congo, Rep.",1985
0.3874643580873261,-3.0451345565063224,-0.4088746655749254,0.3993187242316827,-1.0842824631132848,-0.5858637482881899,"Congo, Rep.",1986
0.675762035848335,-3.0332737461228154,-0.4885531571814124,0.4137627723747777,-1.0945389632804738,-0.6123040493938493,"Congo, Rep.",1987
